Timestamp,Hey guys! I just saw that a penguin escaped.,I'm going out with the guys. You can deal with the penguins.,We're going to need to hire a Python guy to deal with our penguin problems.,This would never have happened if the Java guys were here.,That penguin is such a good guy,Those guys dealt with the penguin emergency so professionally.,I met a great Erlang guy the other day who knows how to deal with thorny penguin issues,Do you identify as a woman?,Unnamed: 10,???
2013-12-26 11:05:24,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,New Hampshire US,
2013-12-26 11:05:47,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,UK,
2013-12-26 11:08:44,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Sf,
2013-12-26 11:09:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,London,
2013-12-26 11:09:45,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,,
2013-12-26 11:09:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Toronto,
2013-12-26 11:09:57,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,Norway,
2013-12-26 11:10:21,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,UK,
2013-12-26 11:11:18,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,London,
2013-12-26 11:11:22,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 11:11:44,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 11:12:18,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,UK,
2013-12-26 11:12:37,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,NYC ,
2013-12-26 11:13:46,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,NYC,
2013-12-26 11:14:12,gender neutral,just men,just men,just men,just men,just men,just men,No,US South,
2013-12-26 11:15:04,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Chicago,
2013-12-26 11:16:22,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 11:17:38,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,Yes,Brooklyn,
2013-12-26 11:18:47,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,San Francisco,
2013-12-26 11:18:55,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,UK,
2013-12-26 11:20:02,gender neutral,just men,just men,gender neutral,gender neutral,just men,just men,No,London,
2013-12-26 11:20:38,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,London Zoo,
2013-12-26 11:20:45,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Oklahoma,
2013-12-26 11:20:52,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,NYC,
2013-12-26 11:21:12,gender neutral,just men,just men,gender neutral,just men,just men,just men,Yes,Tokyo,
2013-12-26 11:21:17,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,Yes,Minneapolis,
2013-12-26 11:21:25,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 11:21:30,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,toronto,
2013-12-26 11:21:43,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,New York,
2013-12-26 11:21:54,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,Bay Area,
2013-12-26 11:22:15,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Missouri,
2013-12-26 11:22:16,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Germany,
2013-12-26 11:22:23,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 11:22:30,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,Yes,New York,
2013-12-26 11:22:41,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,,
2013-12-26 11:22:51,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Germany,
2013-12-26 11:22:53,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,California,
2013-12-26 11:23:04,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,tokyo,
2013-12-26 11:23:09,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Toronto canada ,
2013-12-26 11:23:20,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Switzerland,
2013-12-26 11:23:28,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Boston,
2013-12-26 11:23:47,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Cambridge,
2013-12-26 11:24:08,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 11:24:16,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Bristol,
2013-12-26 11:24:28,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,brooklyn,
2013-12-26 11:24:48,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Hood River,
2013-12-26 11:25:03,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,New York,
2013-12-26 11:25:40,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Switzerland,
2013-12-26 11:25:43,gender neutral,just men,gender neutral,gender neutral,just men,just men,just men,Yes,,
2013-12-26 11:25:56,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,Yes,London,
2013-12-26 11:26:26,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Austin,
2013-12-26 11:26:35,gender neutral,just men,just men,just men,just men,just men,just men,No,Rochester,
2013-12-26 11:26:44,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Los Angeles,
2013-12-26 11:26:49,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 11:27:04,just men,just men,just men,just men,just men,just men,just men,Yes,montreal,
2013-12-26 11:27:08,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,New Hampshire,
2013-12-26 11:27:09,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Boston,
2013-12-26 11:27:09,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 11:27:22,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Edmonton,
2013-12-26 11:28:04,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Seattle,
2013-12-26 11:28:23,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
